coreutils-common-8.30-8.el8.x86_64.rpm,coreutils-common-8.30-8.el8.x86_64.rpm
coreutils-single-8.30-8.el8.x86_64.rpm,coreutils-single-8.30-8.el8.x86_64.rpm
cpio-2.12-8.el8.x86_64.rpm,cpio-2.12-8.el8.x86_64.rpm
cracklib-2.9.6-15.el8.i686.rpm,cracklib-2.9.6-15.el8.i686.rpm
cracklib-2.9.6-15.el8.x86_64.rpm,cracklib-2.9.6-15.el8.x86_64.rpm
cracklib-dicts-2.9.6-15.el8.x86_64.rpm,cracklib-dicts-2.9.6-15.el8.x86_64.rpm
crda-3.18_2018.05.31-3.el8.noarch.rpm,crda-3.18_2018.05.31-3.el8.noarch.rpm
cronie-1.5.2-4.el8.x86_64.rpm,cronie-1.5.2-4.el8.x86_64.rpm
cronie-anacron-1.5.2-4.el8.x86_64.rpm,cronie-anacron-1.5.2-4.el8.x86_64.rpm
cronie-noanacron-1.5.2-4.el8.x86_64.rpm,cronie-noanacron-1.5.2-4.el8.x86_64.rpm
crontabs-1.11-16.20150630git.el8.noarch.rpm,crontabs-1.11-16.20150630git.el8.noarch.rpm
cryptsetup-2.3.3-2.el8.x86_64.rpm,cryptsetup-2.3.3-2.el8.x86_64.rpm
cryptsetup-libs-2.3.3-2.el8.i686.rpm,cryptsetup-libs-2.3.3-2.el8.i686.rpm
cryptsetup-libs-2.3.3-2.el8.x86_64.rpm,cryptsetup-libs-2.3.3-2.el8.x86_64.rpm
cryptsetup-reencrypt-2.3.3-2.el8.x86_64.rpm,cryptsetup-reencrypt-2.3.3-2.el8.x86_64.rpm
cups-libs-2.2.6-38.el8.i686.rpm,cups-libs-2.2.6-38.el8.i686.rpm
cups-libs-2.2.6-38.el8.x86_64.rpm,cups-libs-2.2.6-38.el8.x86_64.rpm
cyrus-sasl-2.1.27-5.el8.i686.rpm,cyrus-sasl-2.1.27-5.el8.i686.rpm
cyrus-sasl-2.1.27-5.el8.x86_64.rpm,cyrus-sasl-2.1.27-5.el8.x86_64.rpm
cyrus-sasl-devel-2.1.27-5.el8.i686.rpm,cyrus-sasl-devel-2.1.27-5.el8.i686.rpm
cyrus-sasl-devel-2.1.27-5.el8.x86_64.rpm,cyrus-sasl-devel-2.1.27-5.el8.x86_64.rpm
cyrus-sasl-gs2-2.1.27-5.el8.i686.rpm,cyrus-sasl-gs2-2.1.27-5.el8.i686.rpm
cyrus-sasl-gs2-2.1.27-5.el8.x86_64.rpm,cyrus-sasl-gs2-2.1.27-5.el8.x86_64.rpm
cyrus-sasl-gssapi-2.1.27-5.el8.i686.rpm,cyrus-sasl-gssapi-2.1.27-5.el8.i686.rpm
cyrus-sasl-gssapi-2.1.27-5.el8.x86_64.rpm,cyrus-sasl-gssapi-2.1.27-5.el8.x86_64.rpm
cyrus-sasl-ldap-2.1.27-5.el8.i686.rpm,cyrus-sasl-ldap-2.1.27-5.el8.i686.rpm
cyrus-sasl-ldap-2.1.27-5.el8.x86_64.rpm,cyrus-sasl-ldap-2.1.27-5.el8.x86_64.rpm
cyrus-sasl-lib-2.1.27-5.el8.i686.rpm,cyrus-sasl-lib-2.1.27-5.el8.i686.rpm
cyrus-sasl-lib-2.1.27-5.el8.x86_64.rpm,cyrus-sasl-lib-2.1.27-5.el8.x86_64.rpm
cyrus-sasl-md5-2.1.27-5.el8.i686.rpm,cyrus-sasl-md5-2.1.27-5.el8.i686.rpm
cyrus-sasl-md5-2.1.27-5.el8.x86_64.rpm,cyrus-sasl-md5-2.1.27-5.el8.x86_64.rpm
cyrus-sasl-ntlm-2.1.27-5.el8.i686.rpm,cyrus-sasl-ntlm-2.1.27-5.el8.i686.rpm
cyrus-sasl-ntlm-2.1.27-5.el8.x86_64.rpm,cyrus-sasl-ntlm-2.1.27-5.el8.x86_64.rpm
cyrus-sasl-plain-2.1.27-5.el8.i686.rpm,cyrus-sasl-plain-2.1.27-5.el8.i686.rpm
cyrus-sasl-plain-2.1.27-5.el8.x86_64.rpm,cyrus-sasl-plain-2.1.27-5.el8.x86_64.rpm
cyrus-sasl-scram-2.1.27-5.el8.i686.rpm,cyrus-sasl-scram-2.1.27-5.el8.i686.rpm
cyrus-sasl-scram-2.1.27-5.el8.x86_64.rpm,cyrus-sasl-scram-2.1.27-5.el8.x86_64.rpm
daxctl-67-2.el8.x86_64.rpm,daxctl-67-2.el8.x86_64.rpm
daxctl-libs-67-2.el8.i686.rpm,daxctl-libs-67-2.el8.i686.rpm
daxctl-libs-67-2.el8.x86_64.rpm,daxctl-libs-67-2.el8.x86_64.rpm
dbus-glib-0.110-2.el8.i686.rpm,dbus-glib-0.110-2.el8.i686.rpm
dbus-glib-0.110-2.el8.x86_64.rpm,dbus-glib-0.110-2.el8.x86_64.rpm
dejavu-fonts-common-2.35-6.el8.noarch.rpm,dejavu-fonts-common-2.35-6.el8.noarch.rpm
dejavu-sans-fonts-2.35-6.el8.noarch.rpm,dejavu-sans-fonts-2.35-6.el8.noarch.rpm
dejavu-sans-mono-fonts-2.35-6.el8.noarch.rpm,dejavu-sans-mono-fonts-2.35-6.el8.noarch.rpm
dejavu-serif-fonts-2.35-6.el8.noarch.rpm,dejavu-serif-fonts-2.35-6.el8.noarch.rpm
device-mapper-multipath-0.8.4-5.el8.x86_64.rpm,device-mapper-multipath-0.8.4-5.el8.x86_64.rpm
device-mapper-multipath-libs-0.8.4-5.el8.i686.rpm,device-mapper-multipath-libs-0.8.4-5.el8.i686.rpm
device-mapper-multipath-libs-0.8.4-5.el8.x86_64.rpm,device-mapper-multipath-libs-0.8.4-5.el8.x86_64.rpm
device-mapper-persistent-data-0.8.5-4.el8.x86_64.rpm,device-mapper-persistent-data-0.8.5-4.el8.x86_64.rpm
dhcp-client-4.3.6-41.el8.x86_64.rpm,dhcp-client-4.3.6-41.el8.x86_64.rpm
dhcp-common-4.3.6-41.el8.noarch.rpm,dhcp-common-4.3.6-41.el8.noarch.rpm
dhcp-libs-4.3.6-41.el8.i686.rpm,dhcp-libs-4.3.6-41.el8.i686.rpm
dhcp-libs-4.3.6-41.el8.x86_64.rpm,dhcp-libs-4.3.6-41.el8.x86_64.rpm
dhcp-relay-4.3.6-41.el8.x86_64.rpm,dhcp-relay-4.3.6-41.el8.x86_64.rpm
dhcp-server-4.3.6-41.el8.x86_64.rpm,dhcp-server-4.3.6-41.el8.x86_64.rpm
diffutils-3.6-6.el8.x86_64.rpm,diffutils-3.6-6.el8.x86_64.rpm
dlm-lib-4.0.9-3.el8.i686.rpm,dlm-lib-4.0.9-3.el8.i686.rpm
dlm-lib-4.0.9-3.el8.x86_64.rpm,dlm-lib-4.0.9-3.el8.x86_64.rpm
dmidecode-3.2-6.el8.x86_64.rpm,dmidecode-3.2-6.el8.x86_64.rpm
dnf-4.2.23-4.el8.noarch.rpm,dnf-4.2.23-4.el8.noarch.rpm
dnf-automatic-4.2.23-4.el8.noarch.rpm,dnf-automatic-4.2.23-4.el8.noarch.rpm
dnf-data-4.2.23-4.el8.noarch.rpm,dnf-data-4.2.23-4.el8.noarch.rpm
dnf-plugins-core-4.0.17-5.el8.noarch.rpm,dnf-plugins-core-4.0.17-5.el8.noarch.rpm
dos2unix-7.4.0-3.el8.x86_64.rpm,dos2unix-7.4.0-3.el8.x86_64.rpm
dosfstools-4.1-6.el8.x86_64.rpm,dosfstools-4.1-6.el8.x86_64.rpm
dump-0.4-0.36.b46.el8.x86_64.rpm,dump-0.4-0.36.b46.el8.x86_64.rpm
